epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
121,0.6932,0.6942,"[ 2.56961604  4.4767471  -0.04834399  1.9485622   0.97116864  0.62979465
  1.21926295  2.11729101  2.54554611]",19.7355
122,0.693,0.7052,"[ 2.56961329  4.47674567 -0.04834546  1.94856336  0.97116988  0.62979648
  1.21926411  2.11728125  2.54555181]",19.7354
123,0.6936,0.7037,"[ 2.56954133  4.47671156 -0.04837656  1.94859243  0.9712016   0.62984121
  1.21929318  2.11709058  2.54569169]",19.7347
124,0.6928,0.6827,"[ 2.56980303  4.47684138 -0.04825807  1.94848093  0.97108067  0.62967259
  1.21918175  2.11769719  2.54522282]",19.7369
125,0.6929,0.6837,"[ 2.56800646  4.47494103 -0.05016727  1.95039551  0.97298787  0.63154285
  1.22109633  2.11618277  2.54685171]",19.7328
126,0.6931,0.688,"[ 2.57392373  4.48090218 -0.04420263  1.94442857  0.96702403  0.62559381
  1.21512944  2.12195926  2.54101462]",19.7498
127,0.6931,0.6919,"[ 2.57520142  4.48238196 -0.04269566  1.9429063   0.9655265   0.62418696
  1.21360794  2.12301168  2.53989729]",19.7527
128,0.6931,0.6906,"[ 2.57510181  4.48233472 -0.04273846  1.94294665  0.96557077  0.62424856
  1.2136484   2.12275769  2.54008899]",19.7518
129,0.6931,0.6933,"[ 2.57333992  4.48046408 -0.0446204   1.94483372  0.96744814  0.62608634
  1.21553517  2.12119096  2.54171725]",19.7472
130,0.6929,0.6743,"[ 2.57339934  4.48049186 -0.04459551  1.94480992  0.96742196  0.62604999
  1.21551128  2.12134123  2.54160231]",19.7477
131,0.6931,0.6979,"[ 2.57328847  4.48043466 -0.04464738  1.94485944  0.9674763   0.62612236
  1.21556108  2.12112467  2.54178574]",19.7469
132,0.6931,0.6924,"[ 2.56934625  4.47646089 -0.04862411  1.94883699  0.97145139  0.63008797
  1.21953848  2.11727827  2.5456695 ]",19.7355
133,0.6929,0.6756,"[ 2.57125676  4.47841832 -0.04666304  1.94687323  0.96949077  0.62814394
  1.2175747   2.11903939  2.54384274]",19.7406
134,0.6931,0.7009,"[ 2.57320034  4.48039176 -0.0446872   1.94489585  0.96751555  0.6261787
  1.21559736  2.12088869  2.54195361]",19.7461
135,0.6931,0.6887,"[ 2.56942738  4.47650948 -0.04857957  1.94879401  0.97140523  0.63002816
  1.21949548  2.11735753  2.54557305]",19.7358
136,0.6931,0.6773,"[ 2.56943363  4.47651229 -0.04857718  1.94879157  0.97140254  0.6300244
  1.21949303  2.11737193  2.54556123]",19.7358
137,0.6929,0.7074,"[ 2.56952117  4.47655411 -0.04853932  1.94875578  0.9713635   0.62996965
  1.2194572   2.11758993  2.5453962 ]",19.7366
138,0.693,0.7072,"[ 2.56956653  4.47657522 -0.04852035  1.94873772  0.97134372  0.62994185
  1.21943911  2.11770801  2.54530778]",19.737
139,0.6932,0.6962,"[ 2.56767602  4.47462752 -0.05047268  1.95069309  0.97329533  0.63187298
  1.22139453  2.11599161  2.54709959]",19.7322
140,0.6932,0.698,"[ 2.57363798  4.48060967 -0.04448901  1.94470824  0.96731189  0.6258964
  1.2154097   2.1218859   2.54117534]",19.7496
141,0.6931,0.7014,"[ 2.57164019  4.47861044 -0.04648844  1.94670755  0.96931115  0.62789521
  1.21740902  2.11989303  2.54317025]",19.7436
142,0.6932,0.6946,"[ 2.57364364  4.48061213 -0.0444871   1.94470602  0.96730941  0.62589309
  1.21540746  2.12189464  2.54116567]",19.7497
143,0.6931,0.6893,"[ 2.57244911  4.47908627 -0.04604857  1.94628658  0.96885854  0.62731474
  1.2169869   2.12126666  2.54197958]",19.7484
144,0.6931,0.6834,"[ 2.57252769  4.47912314 -0.04601538  1.94625507  0.96882394  0.62726658
  1.21695524  2.12146621  2.54182838]",19.7491
145,0.6927,0.7218,"[ 2.57244383  4.47908304 -0.04605193  1.94628925  0.96886132  0.62731878
  1.21698953  2.12125337  2.54198761]",19.7483
146,0.6929,0.7147,"[ 2.56878192  4.47526442 -0.04988569  1.95013163  0.97269048  0.63109043
  1.22083144  2.11790289  2.54544629]",19.7388
147,0.6935,0.6812,"[ 2.5708971   4.47732448 -0.04783037  1.94807986  0.97063476  0.62901336
  1.2187797   2.12013637  2.54325672]",19.7454
148,0.693,0.7074,"[ 2.57288121  4.47931684 -0.04583744  1.94608631  0.96864182  0.62702325
  1.21678618  2.12209328  2.54128764]",19.7513
149,0.6931,0.7063,"[ 2.57283042  4.47929266 -0.0458595   1.94610689  0.96866438  0.62705467
  1.21680685  2.12196273  2.5413849 ]",19.7508
150,0.6932,0.6884,"[ 2.57081819  4.4772867  -0.04786507  1.94811192  0.97066986  0.62906237
  1.21881189  2.11992983  2.54340837]",19.7447
151,0.6932,0.6955,"[ 2.56902016  4.47538584 -0.04977483  1.95002696  0.97257725  0.63093409
  1.22072667  2.11840182  2.54504349]",19.7405
152,0.6931,0.6939,"[ 2.57105409  4.4774027  -0.04775963  1.94801242  0.97056136  0.62891239
  1.21871207  2.1204716   2.54298537]",19.7466
153,0.693,0.6821,"[ 2.56906701  4.47540658 -0.0497564   1.95000933  0.97255783  0.63090641
  1.22070896  2.11853187  2.54494799]",19.741
154,0.693,0.6832,"[ 2.57108169  4.47741339 -0.04775036  1.94800347  0.97055142  0.62889744
  1.21870308  2.12056766  2.54292021]",19.747
155,0.6927,0.7079,"[ 2.57314312  4.47944351 -0.04572332  1.94597754  0.96852284  0.62685885
  1.21667694  2.12269874  2.54081202]",19.7534
156,0.693,0.682,"[ 2.57317513  4.47945846 -0.04571003  1.94596471  0.96850864  0.62683944
  1.21666401  2.12277566  2.54075127]",19.7537
157,0.6931,0.696,"[ 2.57314651  4.47944378 -0.04572363  1.94597725  0.96852224  0.62685823
  1.21667658  2.12271333  2.54079988]",19.7534
158,0.693,0.696,"[ 2.57164902  4.47773641 -0.04745238  1.94771985  0.97024573  0.62849932
  1.21841839  2.1215728   2.54206057]",19.7505
159,0.6935,0.6819,"[ 2.57164339  4.47773364 -0.04745507  1.94772215  0.97024823  0.62850289
  1.2184207   2.12155531  2.54207193]",19.7504
160,0.6933,0.6859,"[ 2.57368156  4.47975155 -0.04543895  1.94570685  0.96823145  0.62647947
  1.21640531  2.12365135  2.53999925]",19.7567
161,0.6931,0.7071,"[ 2.57562013  4.48172285 -0.04346495  1.94373125  0.96625841  0.62451668
  1.21442992  2.12549063  2.53811957]",19.7623
162,0.6931,0.693,"[ 2.57587255  4.48191056 -0.04328789  1.94355919  0.96607636  0.62430392
  1.21425706  2.12576203  2.53784542]",19.7633
163,0.6931,0.6949,"[ 2.57207304  4.47800593 -0.04720193  1.94747766  0.96998646  0.62818073
  1.21817488  2.12224708  2.54146951]",19.7528
164,0.6931,0.6958,"[ 2.57219245  4.47806352 -0.04714997  1.94742835  0.96993219  0.62810656
  1.21812517  2.12252523  2.54125109]",19.7538
165,0.6931,0.6979,"[ 2.57221199  4.47807249 -0.04714201  1.94742067  0.96992371  0.62809482
  1.21811743  2.12257439  2.54121328]",19.7539
166,0.6925,0.7083,"[ 2.57444643  4.4801962  -0.04502958  1.94531337  0.96780616  0.62593988
  1.2160092   2.12501123  2.53883911]",19.7615
167,0.6927,0.706,"[ 2.57637645  4.4821635  -0.04305923  1.94334113  0.9658368   0.62398225
  1.2140372   2.12682736  2.53697599]",19.767
