epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
69,0.692,0.6651,"[2.38407074 4.76264976 0.23722974 1.66324344 0.68563015 0.34400795
 1.40652859 2.40801881 2.25660153 3.62177771 2.39776658 4.06809903
 1.52082026 5.31751126 0.26490909]",20.6911
70,0.6929,0.708,"[2.38805381 4.75869018 0.23326497 1.66721701 0.68960009 0.34799037
 1.40254812 2.40406219 2.26057608 3.6178     2.40175143 4.07203248
 1.51683957 5.32143341 0.26094775]",20.7022
71,0.6933,0.6712,"[2.38212934 4.7645208  0.23911215 1.66133198 0.68372937 0.34206864
 1.40846158 2.40988173 2.25468688 3.62370185 2.39581932 4.06629457
 1.52275412 5.31573534 0.26678416]",20.6875
72,0.6934,0.6966,"[2.38809853 4.75859324 0.23317452 1.66728433 0.6896751  0.34803669
 1.402497   2.40395938 2.2606407  3.61774225 2.40179168 4.07217782
 1.51678925 5.32160233 0.26085254]",20.7033
73,0.693,0.7037,"[2.38610138 4.76058673 0.23516761 1.66528877 0.68767999 0.34603964
 1.40449371 2.40595243 2.25864485 3.6197385  2.39979422 4.07018833
 1.51878606 5.31961613 0.26284577]",20.6973
74,0.6929,0.7072,"[2.38609936 4.76059172 0.23517134 1.66528559 0.68767632 0.34603755
 1.40449603 2.40595779 2.25864176 3.61974115 2.39979242 4.07017989
 1.51878839 5.31960674 0.26285037]",20.6972
75,0.6927,0.7236,"[2.38609751 4.76059674 0.23517435 1.66528263 0.68767273 0.34603562
 1.40449817 2.40596327 2.25863875 3.61974363 2.39979075 4.07017098
 1.51879058 5.31959791 0.26285446]",20.6971
76,0.6932,0.7094,"[2.38797017 4.75885728 0.23341432 1.66709604 0.68946619 0.34790398
 1.40264251 2.40423787 2.26045869 3.61790537 2.40167543 4.07179941
 1.51693313 5.32118202 0.26110909]",20.7005
77,0.6931,0.7191,"[2.38674665 4.75997007 0.23453603 1.66593848 0.68832352 0.34668682
 1.40384266 2.40534461 2.25929568 3.61908572 2.40043231 4.07072126
 1.5181356  5.3201129  0.26222427]",20.6985
78,0.6933,0.673,"[2.38281044 4.76382312 0.23840322 1.66203677 0.68443437 0.34275299
 1.40776932 2.40918757 2.25539013 3.62300226 2.39648951 4.06695503
 1.52206326 5.31638673 0.26608195]",20.6893
79,0.6934,0.6968,"[2.38679853 4.7598518  0.23442797 1.66601813 0.68841312 0.34674062
 1.40378305 2.40521838 2.25937216 3.61901796 2.40047885 4.07090736
 1.51807686 5.320331   0.26210931]",20.6999
80,0.6931,0.6953,"[2.38877902 4.7578981  0.23246936 1.66798766 0.69037864 0.34872036
 1.40180557 2.40326799 2.26134298 3.61704364 2.4024614  4.07283122
 1.51609906 5.32224009 0.26015433]",20.7056
81,0.6932,0.6869,"[2.38678924 4.75987404 0.23444647 1.66600363 0.68839657 0.34673097
 1.40379376 2.40524223 2.25935816 3.61903017 2.40047053 4.07087076
 1.51808749 5.32028897 0.2621304 ]",20.6996
